city,ep,year,pop,epdays,epnights
Hyderabad,93776013.96360987,2018,11385181.185470073,34182659.261273175,153369368.66594657
Hyderabad,107909140.09484237,2019,11552289.778586227,79881573.71712507,135936706.4725597
Hyderabad,81034040.91979417,2020,11719398.387609404,54160904.955851644,107907176.88373668
Columbus,19993419.647756483,2010,2104543.466703869,14630868.298334416,25355970.99717855
Columbus,17203132.02451558,2011,2145562.0015988154,14254949.067189902,20151314.98184126
Columbus,33731935.43427877,2012,2186580.534943041,44108116.71706575,23355754.151491784
Columbus,8001609.374381555,2013,2227599.070191332,6520448.395022683,9482770.353740428
Columbus,6205875.528927121,2014,2268617.6012466704,5503543.460245587,6908207.597608656
Columbus,5801555.289936769,2015,2309636.1367309312,6768876.356659456,4834234.2232140815
Columbus,17095810.5847439,2016,2350263.350781438,14789531.239937648,19402089.92955015
Columbus,8514833.465532036,2017,2390890.564278487,9386523.29652688,7643143.634537194
Columbus,12990315.72574585,2018,2431517.7715432495,14689714.975900032,11290916.475591667
Columbus,15805026.41815104,2019,2472144.9871269306,15810167.57804808,15799885.258253999
Columbus,19269916.532938007,2020,2512772.1992752594,24783589.830263935,13756243.235612078
Accra,12371007.952024886,2010,4962123.440615975,9620737.40099437,15121278.503055403
Accra,4720922.444106966,2011,5091762.138366395,7305085.031708829,2136759.8565051043
Accra,9334589.29960311,2012,5221400.849705791,4473636.889054269,14195541.710151952
Accra,22251212.78188499,2013,5351039.543192803,31794949.72104063,12707475.842729352
Accra,16164942.984051647,2014,5480678.267557871,19470654.778049048,12859231.190054245
Accra,5022148.865208838,2015,5610316.963311609,5230187.043308118,4814110.687109558
Accra,13363986.553280493,2016,5737228.873252086,16378527.55775626,10349445.548804726
Accra,7778297.168440593,2017,5864140.759487668,5448732.350905221,10107861.985975966
Accra,15778846.006586835,2018,5991052.65863952,21269340.188077778,10288351.825095892
Accra,14673284.346831169,2019,6117964.550946444,10283176.958256245,19063391.735406093
Accra,26602188.589455284,2020,6244876.444946912,24736858.996370662,28467518.18253991
Wuhan,53447342.53242605,2010,10615618.480700888,36299187.16476913,70595497.90008298
Wuhan,49626409.37619896,2011,10740344.88115518,53701020.02089754,45551798.731500395
Wuhan,83547934.52983752,2012,10865071.333966013,73416193.21460718,93679675.84506786
Wuhan,130814557.55410776,2013,10989797.724786088,129579683.05550343,132049432.05271208
Wuhan,59727712.12258269,2014,11114524.112988554,45780715.29325081,73674708.95191458
Wuhan,62284312.43957827,2015,11239250.5386468,57576740.923666984,66991883.95548956
Wuhan,103958558.36447114,2016,11373538.455426078,97503995.21367396,110413121.5152683
Wuhan,83871694.32130742,2017,11507826.337613042,91710543.15334213,76032845.48927273
Wuhan,92345016.27683514,2018,11642114.259724412,92927667.53528096,91762365.01838931
Wuhan,137946169.34954345,2019,11776402.150068577,136394565.21802247,139497773.48106447
Wuhan,56929441.05956909,2020,11910690.057613932,62638681.40092291,51220200.71821527
Bradenton,7090048.061762476,2010,925104.1589403532,7326270.91106724,6853825.212457712
Bradenton,7511002.956466296,2011,938146.3497711872,7696637.3329489585,7325368.579983633
Bradenton,4431184.386550314,2012,951188.5409396845,3820692.7625183575,5041676.01058227
Bradenton,4412052.721049178,2013,964230.7329288167,3788361.590177658,5035743.8519207
Bradenton,4703964.8267194275,2014,977272.9249616815,4771956.455755834,4635973.197683021
Bradenton,4868079.121180819,2015,990315.1167142809,4750732.4471378755,4985425.795223764
Bradenton,6827813.285985548,2016,1003539.2653531348,6604533.946353715,7051092.625617381
Bradenton,5018838.019386465,2017,1016763.4129549502,4559530.926722671,5478145.112050259
Bradenton,4206608.254556943,2018,1029987.5631300434,4419672.803512283,3993543.705601602
Bradenton,5443012.623963542,2019,1043211.7120553004,4490964.488671405,6395060.759255679
Bradenton,4741563.886437347,2020,1056435.8597127046,4887241.864735423,4595885.908139272
Sacramento,18283307.12983694,2010,2507874.519780401,16425910.059654506,20140704.20001937
Sacramento,18460016.232786994,2011,2552813.2665322525,16895631.37740773,20024401.08816626
Sacramento,34538301.68346466,2012,2597752.0002303105,37406154.45076455,31670448.916164774
Sacramento,34301283.85770893,2013,2642690.749273764,34824088.53609949,33778479.17931837
Sacramento,32627218.65110562,2014,2687629.4914840525,34680748.8023521,30573688.499859143
Sacramento,29894806.22397481,2015,2732568.2331227274,29486959.350671105,30302653.097278513
Sacramento,42272742.87295786,2016,2774932.3331104065,41861105.87659986,42684379.86931586
Sacramento,59165868.72621221,2017,2817296.4265211476,49105785.98752992,69225951.4648945
Sacramento,30290047.995666865,2018,2859660.526645668,27524004.8824372,33056091.10889653
Sacramento,38413602.634684704,2019,2902024.6237631594,37010766.42030959,39816438.84905982
Sacramento,48136977.59032279,2020,2944388.717624394,51199309.70590855,45074645.474737026
Chattogram,50524934.59681581,2010,7645434.68351778,36534943.683617085,64514925.510014534
Chattogram,48178773.674921155,2011,7734187.524716361,39892115.96940706,56465431.38043526
Chattogram,27427682.55707892,2012,7822940.336189596,19545048.580393344,35310316.5337645
Chattogram,66321977.422552034,2013,7911693.163607858,69915451.19207466,62728503.65302942
Chattogram,91547846.03278965,2014,8000445.97344644,89286965.99501649,93808726.07056281
Chattogram,36336556.046935126,2015,8089198.815191314,34719126.02791725,37953986.065952994
Chattogram,57186020.95582153,2016,8177583.300888192,45509492.61059968,68862549.30104338
Chattogram,40862504.35717908,2017,8265967.773892231,32732025.61071992,48992983.10363825
Chattogram,16216763.457335677,2018,8354352.245293342,10231499.031107754,22202027.8835636
Chattogram,95328654.7016981,2019,8442736.708657611,79183548.09024361,111473761.31315258
Chattogram,46345900.695730396,2020,8531121.197028466,48093639.810955286,44598161.580505505
Baghdad,137565306.5531845,2010,7060500.902949277,62103881.52733159,213026731.5790374
Baghdad,109909051.00807557,2011,7225748.8358441265,28997488.009935275,190820614.00621584
Baghdad,143889092.61325154,2012,7390996.778757164,71701525.90735228,216076659.3191508
Baghdad,107662066.56388724,2013,7556244.691150848,32462956.947806012,182861176.17996848
Baghdad,166092423.73567584,2014,7721492.6125180125,59159525.74828743,273025321.72306424
Baghdad,156686481.17002198,2015,7886740.5509211635,62190863.45258209,251182098.88746187
Baghdad,191574751.87350455,2016,8057809.333511002,92541126.4727472,290608377.2742619
Baghdad,217970748.6695265,2017,8228878.120360944,110707812.25071399,325233685.088339
Baghdad,150828622.83109617,2018,8399946.908390194,39293204.92915568,262364040.73303667
Baghdad,230721399.79824942,2019,8571015.681763235,118158760.7088387,343284038.88766015
